symbol_key,symbol,company_name,sector,industry
150,FINV,FinVolution Group,Financial Services,Credit Services
151,GOTU,Gaotu Techedu Inc.,Consumer Defensive,Education & Training Services
152,HNGZY,HANGZHOU TIGERMED CONSULTING CO,Healthcare,Diagnostics & Research
153,HSAI,Hesai Group,Consumer Cyclical,Auto Parts
154,HTHT,H World Group Limited,Consumer Cyclical,Lodging
155,IQ,"iQIYI, Inc.",Communication Services,Entertainment
156,JKS,JinkoSolar Holding Company Limi,Technology,Solar
157,LU,Lufax Holding Ltd,Financial Services,Credit Services
158,LX,LexinFintech Holdings Ltd.,Financial Services,Credit Services
159,MNSO,MINISO Group Holding Limited,Consumer Cyclical,Specialty Retail
160,MOMO,Hello Group Inc.,Communication Services,Internet Content & Information
161,NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers
162,NOAH,Noah Holdings Limited,Financial Services,Asset Management
163,QFIN,"Qifu Technology, Inc",Financial Services,Credit Services
164,RERE,ATRenew Inc.,Consumer Cyclical,Internet Retail
165,RLX,RLX Technology Inc.,Consumer Defensive,Tobacco
166,TAL,TAL Education Group,Consumer Defensive,Education & Training Services
167,TIGR,UP Fintech Holding Limited,Financial Services,Capital Markets
168,TME,Tencent Music Entertainment Gro,Communication Services,Internet Content & Information
169,VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail
170,VNET,"VNET Group, Inc.",Technology,Information Technology Services
171,WB,Weibo Corporation,Communication Services,Internet Content & Information
172,YMM,Full Truck Alliance Co. Ltd.,Technology,Software - Application
173,YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,Restaurants
174,ZK,ZEEKR Intelligent Technology Ho,Consumer Cyclical,Auto Manufacturers
175,ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics
176,CIB,BanColombia S.A.,Financial Services,Banks - Regional
177,TGLS,Tecnoglass Inc.,Basic Materials,Building Materials
178,ESTA,Establishment Labs Holdings Inc,Healthcare,Medical Devices
179,FRO,Frontline Plc,Energy,Oil & Gas Midstream
180,ASND,Ascendis Pharma A/S,Healthcare,Biotechnology
181,CMGGF,COMMERCIAL INTL BANK(EGYPT)S.A.,Financial Services,Banks - Regional
182,AS,"Amer Sports, Inc.",Consumer Cyclical,Leisure
183,CSTM,Constellium SE,Basic Materials,Aluminum
184,BNTX,BioNTech SE,Healthcare,Biotechnology
185,CVAC,CureVac N.V.,Healthcare,Biotechnology
186,DTRUY,DAIMLER TRUCK HLDG AG,Industrials,Farm & Heavy Construction Machinery
187,KNRRY,Knorr-Bremse,Consumer Cyclical,Auto Parts
188,SMNEY,Siemens Energy AG,Industrials,Specialty Industrial Machinery
189,DAC,Danaos Corporation,Industrials,Marine Shipping
190,GSL,Global Ship Lease Inc New,Industrials,Marine Shipping
191,SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping
192,TEN,Tsakos Energy Navigation Ltd,Energy,Oil & Gas Midstream
193,FUTU,Futu Holdings Limited,Financial Services,Capital Markets
194,MLCO,Melco Resorts & Entertainment L,Consumer Cyclical,Resorts & Casinos
195,SIMO,Silicon Motion Technology Corpo,Technology,Semiconductors
196,IBN,ICICI Bank Limited,Financial Services,Banks - Regional
197,INFY,Infosys Limited,Technology,Information Technology Services
198,LTOUF,Larsen & Toubro Ltd.,Industrials,Engineering & Construction
199,MAHMF,Mahindra & Mahindra Ltd.,Consumer Cyclical,Auto Manufacturers
200,MMYT,MakeMyTrip Limited,Consumer Cyclical,Travel Services
201,RDY,Dr. Reddy's Laboratories Ltd,Healthcare,Drug Manufacturers - Specialty & Generic
202,SBKFF,STATE BANK OF INDIA GDR-EACH RE,Financial Services,Banks - Regional
203,WIT,Wipro Limited,Technology,Information Technology Services
204,WNS,WNS (Holdings) Limited,Technology,Information Technology Services
205,ACN,Accenture plc,Technology,Information Technology Services
206,ADNT,Adient plc,Consumer Cyclical,Auto Parts
207,AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services
208,ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic
209,ALLE,Allegion plc,Industrials,Security & Protection Services
210,AON,Aon plc,Financial Services,Insurance Brokers
211,AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic
212,CMPR,Cimpress PLC,Industrials,Specialty Business Services
213,CRH,CRH PLC,Basic Materials,Building Materials
214,DOLE,Dole plc,Consumer Defensive,Farm Products
215,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery
216,ICLR,ICON plc,Healthcare,Diagnostics & Research
217,JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology
218,JCI,Johnson Controls International ,Industrials,Building Products & Equipment
219,MDT,Medtronic plc.,Healthcare,Medical Devices
220,PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail
221,PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic
222,PRTA,Prothena Corporation plc,Healthcare,Biotechnology
223,RYAAY,Ryanair Holdings plc,Industrials,Airlines
224,SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers
225,TEL,TE Connectivity plc,Technology,Electronic Components
226,TT,Trane Technologies plc,Industrials,Building Products & Equipment
227,CAMT,Camtek Ltd.,Technology,Semiconductor Equipment & Materials
228,CHKP,Check Point Software Technologi,Technology,Software - Infrastructure
229,CLBT,Cellebrite DI Ltd.,Technology,Software - Infrastructure
230,CSTE,Caesarstone Ltd.,Industrials,Building Products & Equipment
231,CYBR,CyberArk Software Ltd.,Technology,Software - Infrastructure
232,FVRR,Fiverr International Ltd.,Communication Services,Internet Content & Information
233,GLBE,Global-E Online Ltd.,Consumer Cyclical,Internet Retail
234,INMD,InMode Ltd.,Healthcare,Medical Devices
235,ITRN,Ituran Location and Control Ltd,Technology,Scientific & Technical Instruments
236,KRNT,Kornit Digital Ltd.,Industrials,Specialty Industrial Machinery
237,MBLY,Mobileye Global Inc.,Consumer Cyclical,Auto Parts
238,MDWD,MediWound Ltd.,Healthcare,Biotechnology
239,MGIC,Magic Software Enterprises Ltd.,Technology,Information Technology Services
240,MNDY,monday.com Ltd.,Technology,Software - Application
241,NNDM,Nano Dimension Ltd.,Technology,Computer Hardware
242,NNOX,NANO-X IMAGING LTD,Healthcare,Medical Devices
243,NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials
244,ODD,ODDITY Tech Ltd.,Technology,Software - Infrastructure
245,PLTK,Playtika Holding Corp.,Communication Services,Electronic Gaming & Multimedia
246,RDWR,Radware Ltd.,Technology,Software - Infrastructure
247,SEDG,"SolarEdge Technologies, Inc.",Technology,Solar
248,SMWB,Similarweb Ltd.,Technology,Software - Application
249,SPNS,Sapiens International Corporati,Technology,Software - Application
250,TEVA,Teva Pharmaceutical Industries ,Healthcare,Drug Manufacturers - Specialty & Generic
251,WIX,Wix.com Ltd.,Technology,Software - Infrastructure
252,ZIM,ZIM Integrated Shipping Service,Industrials,Marine Shipping
253,RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers
254,CMCL,Caledonia Mining Corporation Pl,Basic Materials,Gold
255,GAMB,Gambling.com Group Limited,Consumer Cyclical,Gambling
256,MTAL,MAC Copper Limited,Basic Materials,Copper
257,FRHC,Freedom Holding Corp.,Financial Services,Financial Conglomerates
258,ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic
259,AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers
260,GLOB,Globant S.A.,Technology,Information Technology Services
261,MT,Arcelor Mittal NY Registry Shar,Basic Materials,Steel
262,OEC,Orion S.A.,Basic Materials,Specialty Chemicals
263,SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information
264,TIGO,Millicom International Cellular,Communication Services,Telecom Services
265,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services
266,BWMX,"Betterware de Mexico, S.A.P.I. ",Consumer Cyclical,Specialty Retail
267,CX,"Cemex, S.A.B. de C.V. Sponsored",Basic Materials,Building Materials
268,VIST,Vista Energy S.A.B. de C.V.,Energy,Oil & Gas E&P
269,CMRE,Costamare Inc.,Industrials,Marine Shipping
270,SB,"Safe Bulkers, Inc",Industrials,Marine Shipping
271,STNG,Scorpio Tankers Inc.,Energy,Oil & Gas Midstream
272,ASML,ASML Holding N.V. - New York Re,Technology,Semiconductor Equipment & Materials
273,ESTC,Elastic N.V.,Technology,Software - Application
274,MRUS,Merus N.V.,Healthcare,Biotechnology
275,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors
276,PHVS,Pharvaris N.V.,Healthcare,Biotechnology
277,PLYA,Playa Hotels & Resorts N.V.,Consumer Cyclical,Resorts & Casinos
278,QGEN,Qiagen N.V.,Healthcare,Diagnostics & Research
279,QURE,uniQure N.V.,Healthcare,Biotechnology
280,STM,STMicroelectronics N.V.,Technology,Semiconductors
281,SBSNY,Schibsted ASA,Communication Services,Publishing
282,BLX,Banco Latinoamericano de Comerc,Financial Services,Banks - Regional
283,CPA,"Copa Holdings, S.A.",Industrials,Airlines
284,BAP,Credicorp Ltd.,Financial Services,Banks - Regional
285,BVN,Buenaventura Mining Company Inc,Basic Materials,Other Precious Metals & Mining
286,BTDR,Bitdeer Technologies Group,Technology,Software - Application
287,GRAB,Grab Holdings Limited,Technology,Software - Application
288,JOYY,JOYY Inc.,Communication Services,Internet Content & Information
289,KEN,Kenon Holdings Ltd.,Utilities,Utilities - Independent Power Producers
290,SE,Sea Limited,Consumer Cyclical,Internet Retail
291,STX,Seagate Technology Holdings PLC,Technology,Computer Hardware
292,WVE,Wave Life Sciences Ltd.,Healthcare,Biotechnology
293,YY,JOYY Inc.,Communication Services,Internet Content & Information
294,KB,KB Financial Group Inc,Financial Services,Banks - Regional
295,KEP,Korea Electric Power Corporatio,Utilities,Utilities - Regulated Electric
296,LPL,"LG Display Co, Ltd AMERICAN DEP",Technology,Consumer Electronics
297,PKX,POSCO Holdings Inc.,Basic Materials,Steel
298,GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General
299,TEF,Telefonica SA,Communication Services,Telecom Services
